"","X","per","ts_pct","usg_pct","bpm","vorp","age","win_pct","g","pts_per_g","trb_per_g","ast_per_g","stl_per_g","blk_per_g","fg_pct","fg3_pct","ft_pct","ws","ws_per_48"
"166",165,15.6,0.56,16.2,2.2,3,25,0.658536585365854,82,13.9,2.7,6.1,2,0.2,0.449,0.367,0.834,7.5,0.13
"167",166,21.9,0.539,31.6,3.1,3.4,28,0.646341463414634,77,25.1,5.6,3.6,0.9,0.7,0.475,0.302,0.77,8.8,0.163
"168",167,19.9,0.619,24.2,2,2.2,31,0.658536585365854,69,20,3.3,2.5,0.6,0.1,0.514,0,0.86,9.4,0.21
"169",168,18.2,0.603,20,1.3,2.2,27,0.231707317073171,70,18.3,11.9,1.6,1,0.6,0.56,1,0.668,7.6,0.138
"170",169,26.9,0.625,24.3,9.3,8.2,29,0.695121951219512,77,22.5,7.9,12.8,1.8,0.3,0.509,0.314,0.911,16.1,0.267
"171",170,31.1,0.614,32.1,12.6,12,25,0.573170731707317,81,32.5,8,8,2.9,0.8,0.538,0.276,0.85,19.8,0.292
"172",171,24.4,0.592,30.4,6.1,6.5,25,0.621951219512195,80,29.1,10.7,2.7,1.8,0.9,0.519,0.313,0.766,15.2,0.233
"173",172,22.1,0.607,23.6,4.7,4.9,26,0.634146341463415,80,22.7,9.3,2.4,1.5,3.5,0.567,0,0.746,10.9,0.181
"174",173,25.2,0.552,28.2,5.4,5.6,26,0.548780487804878,82,24.8,13.5,1.8,2.6,3.4,0.508,0,0.696,12.4,0.197
"175",174,27,0.653,24.4,9.8,9.2,25,0.560975609756098,79,25.8,12.5,4.1,1.6,0.8,0.579,0.216,0.753,16.1,0.25
"176",175,22.9,0.624,19.1,4.8,5.5,26,0.621951219512195,82,17.1,3,13.6,3.2,0.2,0.538,0.242,0.863,15.6,0.236
"177",176,20.5,0.597,21.2,3.5,4.5,22,0.670731707317073,81,20.4,4.2,12.2,1.7,0.3,0.505,0.091,0.882,12.2,0.184
